,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,daily,daily_lower,daily_upper,hourly,hourly_lower,hourly_upper,seasonal,seasonal_lower,seasonal_upper,seasonalities,seasonalities_lower,seasonalities_upper,yhat
20,2018-03-05 14:55:42,2.5985876952314927e-05,2.5985876952314927e-05,2.5985876952314927e-05,2.560461902189216e-05,2.664914899411019e-05,3.620955401734313e-08,3.620955401734313e-08,3.620955401734313e-08,9.942640589258014e-08,9.942640589258014e-08,9.942640589258014e-08,1.3563595990992326e-07,1.3563595990992326e-07,1.3563595990992326e-07,1.3563595990992326e-07,1.3563595990992326e-07,1.3563595990992326e-07,2.612151291222485e-05
21,2018-03-05 15:02:13,2.5986109941512103e-05,2.5986109941512103e-05,2.5986109941512103e-05,2.5434924075839036e-05,2.6423196932815007e-05,4.549397663330742e-08,4.549397663330742e-08,4.549397663330742e-08,-9.509120827884482e-08,-9.509120827884482e-08,-9.509120827884482e-08,-4.959723164553744e-08,-4.959723164553744e-08,-4.959723164553744e-08,-4.959723164553744e-08,-4.959723164553744e-08,-4.959723164553744e-08,2.5936512709866567e-05
22,2018-03-05 16:49:14,2.5989936088916344e-05,2.598993608891634e-05,2.598993608891634e-05,2.5805203025914014e-05,2.6755531829593098e-05,2.459431513362923e-07,2.459431513362923e-07,2.459431513362923e-07,6.00273961508621e-08,6.00273961508621e-08,6.00273961508621e-08,3.0597054748715443e-07,3.0597054748715443e-07,3.0597054748715443e-07,3.0597054748715443e-07,3.0597054748715443e-07,3.0597054748715443e-07,2.6295906636403497e-05
23,2018-03-05 17:17:37,2.5990950873066697e-05,2.5990950873066697e-05,2.5990950873066697e-05,2.5693529889258614e-05,2.6688105339866014e-05,2.6777974417082214e-07,2.6777974417082214e-07,2.6777974417082214e-07,-5.343548392881503e-08,-5.343548392881503e-08,-5.343548392881503e-08,2.1434426024200713e-07,2.1434426024200713e-07,2.1434426024200713e-07,2.1434426024200713e-07,2.1434426024200713e-07,2.1434426024200713e-07,2.6205295133308703e-05
24,2018-03-05 19:03:20,2.5994730541807558e-05,2.5994730541807558e-05,2.5994730541807558e-05,2.5711087678137467e-05,2.6708940007495066e-05,1.8482229649555115e-07,1.8482229649555115e-07,1.8482229649555115e-07,4.5879771465652446e-08,4.5879771465652446e-08,4.5879771465652446e-08,2.3070206796120354e-07,2.3070206796120354e-07,2.3070206796120354e-07,2.3070206796120354e-07,2.3070206796120354e-07,2.3070206796120354e-07,2.6225432609768762e-05
25,2018-03-05 21:05:01,2.5999081063875515e-05,2.5999081063875515e-05,2.5999081063875515e-05,2.545435048680738e-05,2.650938244190736e-05,1.0530846636874868e-07,1.0530846636874868e-07,1.0530846636874868e-07,-1.2577244920280985e-07,-1.2577244920280985e-07,-1.2577244920280985e-07,-2.0463982834061175e-08,-2.0463982834061175e-08,-2.0463982834061175e-08,-2.0463982834061175e-08,-2.0463982834061175e-08,-2.0463982834061175e-08,2.5978617081041455e-05
26,2018-03-06 00:55:03,2.600730540377168e-05,2.600730540377168e-05,2.600730540377168e-05,2.5021103645106752e-05,2.602112435074694e-05,-3.5197445874029453e-07,-3.5197445874029453e-07,-3.5197445874029453e-07,-1.2984590526962981e-07,-1.2984590526962981e-07,-1.2984590526962981e-07,-4.818203640099242e-07,-4.818203640099242e-07,-4.818203640099242e-07,-4.818203640099242e-07,-4.818203640099242e-07,-4.818203640099242e-07,2.5525485039761756e-05
27,2018-03-06 01:58:37,2.599247781787832e-05,2.599247781787832e-05,2.599247781787832e-05,2.535039792363253e-05,2.634329829146219e-05,-1.3796578531757567e-07,-1.3796578531757567e-07,-1.3796578531757567e-07,-5.644075037383219e-09,-5.644075037383219e-09,-5.644075037383219e-09,-1.4360986035495892e-07,-1.4360986035495892e-07,-1.4360986035495892e-07,-1.4360986035495892e-07,-1.4360986035495892e-07,-1.4360986035495892e-07,2.584886795752336e-05
28,2018-03-06 03:40:13,2.596877856155794e-05,2.596877856155794e-05,2.596877856155794e-05,2.5645347722462128e-05,2.663341520942945e-05,7.383748952328986e-08,7.383748952328986e-08,7.383748952328986e-08,8.243178214059319e-08,8.243178214059319e-08,8.243178214059319e-08,1.5626927166388305e-07,1.5626927166388305e-07,1.5626927166388305e-07,1.5626927166388305e-07,1.5626927166388305e-07,1.5626927166388305e-07,2.612504783322182e-05
29,2018-03-06 04:58:36,2.5950494834117855e-05,2.5950494834117855e-05,2.5950494834117855e-05,2.541868536212871e-05,2.6451998070562965e-05,5.680415092085529e-09,5.680415092085529e-09,5.680415092085529e-09,-1.5784147992400442e-08,-1.5784147992400442e-08,-1.5784147992400442e-08,-1.0103732900314911e-08,-1.0103732900314911e-08,-1.0103732900314911e-08,-1.0103732900314911e-08,-1.0103732900314911e-08,-1.0103732900314911e-08,2.594039110121754e-05
